page	A_title	A_vc	B_title	B_vc
496	496 · O Listen to Our Wondrous Story	3	496 · I Know He Walks with Me	6
497	497 · Whispering Hope	3	497 · Lord I Am Coming to Thee	6
498	498 · Christ is Precious	3	498 · I Know Who Holds Tomorrow	9
499	499 · He Whispers Sweet Peace	3	499 · I Feel Like Traveling On	8
500	500 · One Sweetly Solemn Thought	5	500 · I Hold His Hand	9
501	501 · Though Your Sins be	2	501 · No Not One	6
502	502 · Jesus is Mine	3	502 · I Want to Know More about My Lord	12
503	503 · In Sorrow I Wandered	3	503 · Zion's Call	6
504	504 · In Loving Kindness	4	504 · Sweeter As the Years Go Drifting By	6
506	506 · No One Ever Cared for Me	2	506 · Sweet Is the Solemn Voice That Calls	3
507	507 · Does Jesus Care	3	507 · Salvation Has Been Brought Down	12
508	508 · A Wonderful Savior	4	508 · If We Never Meet Again	9
509	509 · I Will Sing the Wondrous	3	509 · Jesus Is Mine	3
510	510 · I Lay My Sins	3	510 · I Surrender All	6
511	511 · Am So Glad	3	511 · Where the Roses Never Fade	6
513	513 · I Will Sing of My Redeemer	3	513 · Sunrise in Glory	6
514	514 · Redeemed	3	514 · I Shall Know Him	8
515	515 · Let the Redeemed	1	515 · Do You Love the Lord	6
517	517 · Heaven Came Down	3	517 · Savior Breathe an Evening Blessing	3
519	519 · God is My Refuge	3	519 · More Holiness Give Me	3
520	520 · In the Cross of Christ	4	520 · Lord Lead Me On	9
521	521 · Saved Saved	3	521 · My Idle Words	5
522	522 · O God our help-Bradbury	4	522 · Ye Must Be Born Again	6
523	523 · I Know the Lord will Find a Way	3	523 · Sweet Peace the Gift of Gods Love	6
524	524 · I know whom I have believed	4	524 · Just Over in the Gloryland	10
525	525 · He Knows Just What I Need	3	525 · Glory Will Be Mine	6
526	526 · Jesus and Shall it	4	526 · Jesus the Loving Shepherd	9
527	527 · He Touched Me	2	527 · It Is Well with My Soul	5
528	528 · I Know that My Redeemer-Filmore	4	528 · See Christ in Gethsemane	6
529	529 · I Know that My Redeemer Liveth	3	529 · My Hope Is Built on Nothing Less	6
530	530 · Majestic Sweetness	5	530 · Surely Goodness and Mercy	8
531	531 · Like A River	2	531 · Living by Faith	12
532	532 · All People That on Earth Do Dwell	4	532 · Purer Yet and Purer	3
533	533 · I Am A Sheep	2	533 · Were You There	4
534	534 · To Our Redeemer's Glorious	3	534 · O Spread the Tidings Round	9
535	535 · The Glory Land Way-SFP	3	535 · The Lord Is in His Holy Temple	1
537	537 · Here We Are But Straying	3	537 · Hide Me Rock of Ages	12
538	538 · My Hope is Built	4	538 · Love for All	5
539	539 · Higher Ground	4	539 · Have You Heard	7
540	540 · O For A Faith	4	540 · Help Me Lord to Stand	12
541	541 · The Rainbow of Love	3	541 · Ten Thousand Angels	10
543	543 · Wonderful Words of Life	3	543 · He Lifted Me	6
544	544 · Without Him	2	544 · He Whispers Sweet Peace to Me	8
545	545 · Precious Memories	3	545 · He'll Understand and Say Well Done	8
546	546 · Till the Storm Passes By	3	546 · I'll Be a Friend to Jesus	8
547	547 · Go Labor On	2	547 · He Bore It All	11
548	548 · The Lily of the Valley	3	548 · Jesus Will Lead Me	6
549	549 · There is Sunshine	3	549 · He Will Not Leave Me Alone	8
550	550 · I Walk With the King	3	550 · He's Calling You	9
552	552 · Have Thine Own Way	3	552 · His Love Is My Song	6
553	553 · I'll Live For Him	2	553 · Home on the Banks of the River	8
554	554 · O Jesus I Have Promised	3	554 · I'll Be List'ning	8
555	555 · Seek Ye First	3	555 · Heavens Jubilee	9
556	556 · There Is A Sea	3	556 · Some Sweet Day	5
557	557 · Rise Up O Men of God	4	557 · On Zion's Glorious Summit	6
558	558 · There Stands A Rock	3	558 · Onward Christian Soldiers	8
559	559 · The Joy of the Lord-SFP	3	559 · The Pearly White City	9
560	560 · Living by Faith	3	560 · Over There	6
562	562 · I Need Jesus	3	562 · Stepping in the Light	6
563	563 · I Love You My Jesus	2	563 · Our God He Is Alive	10
564	564 · I Must Tell Jesus	3	564 · Tell Me the Story of Jesus	9
565	565 · Sweeter as the Years Go By	3	565 · Take My Hand and Lead Me	6
566	566 · Shall I Crucify My Savior	4	566 · We Shall See the King Some Day	8
567	567 · Restore My Soul	3	567 · Watching You	6
568	568 · Jesus Rose of Sharon	4	568 · Take the Name of Jesus with You	6
569	569 · Sweeter Than All	3	569 · Hide Thou Me	9
570	570 · A Beautiful Life	4	570 · Tarry with Me	6
571	571 · Something Beautiful	1	571 · His Grace Reaches Me	6
572	572 · Each Step of the Way	2	572 · Something for Jesus	3
573	573 · Shall I Be Ashamed	3	573 · Oh What Wondrous Condescension	4
574	574 · O How I Love Jesus	3	574 · Hear Us Father	6
575	575 · Reach our and touch the Lord	1	575 · O Thou Fount of Every Blessing	6
577	577 · We Bow Down	2	577 · Only a Shadow Between	6
578	578 · We Will Glorify	4	578 · On the Cross of Calvary	12
579	579 · Praise the Name of Jesus	1	579 · The Saints Immortal Home	8
580	580 · The Joy of the Lord	3	580 · Master the Tempest Is Raging	12
581	581 · I'd Rather Have Jesus-Shea	3	581 · O That Will Be Glory	6
582	582 · My Faith Has Found a Resting	4	582 · Not a Step without Jesus	6
583	583 · Jesus Flow Like A River	2	583 · Jesus My Friend	9
584	584 · Close to Thee	2	584 · I Know Whom I Have Believed	6
585	585 · Lean on His Arm	3	585 · Rejoice in the Lord	8
586	586 · My Faith Looks Up To Thee	3	586 · That Glad Reunion Day	9
587	587 · Sing and Be Happy	2	587 · Wayfaring Stranger	6
589	589 · What a Fellowship	3	589 · On That Wondrous Golden Day	12
590	590 · Jesus is all the World to Me	4	590 · O Worship the King	3
591	591 · Who Can Satisfy	3	591 · I'll Live in Glory	8
592	592 · Some Day the Silver Cord	4	592 · Near to the Heart of God	6
593	593 · Consider Him	2	593 · Fear Not Little Flock	8
594	594 · Live For Jesus	3	594 · Brighten the Corner	6
595	595 · I come to the Garden Alone (+1 more)	3	595 · O God Thou Art My God Alone	4
596	596 · In The Desert of Sorrow	3	596 · Burdens Are Lifted at Calvary	6
598	598 · Day by Day	2	598 · Each Step I Take	6
599	599 · On and On We Walk Together	5	599 · For Christ and the Church	8
600	600 · God Leads Us Along	3	600 · Forward in the Work of the Lord	6
601	601 · My God and I	3	601 · From the Cross to the Crown	6
602	602 · Nobody Fills My Heart Like	2	602 · There Is a Habitation	6
603	603 · Jesus Savior Pilot Me	3	603 · One Sweetly Solemn Thought	5
604	604 · I Want to Be Ready To Meet	3	604 · I Know the Lord Will Make a Way	6
605	605 · I Will Serve You	1	605 · I Will Pray	8
606	606 · Remind Me Dear Lord	2	606 · Lord Dismiss Us in Thy Care	4
607	607 · I Want Jesus to Walk with	2	607 · Jesus Lover of My Soul	6
608	608 · He Gave Me A Song	3	608 · The Eastern Gate	10
609	609 · I'm Not Ashamed	3	609 · Gathering Home	8
610	610 · I Love My Savior Too	3	610 · Give Your Burdens to Jesus	6
611	611 · Walking in Sunlight	3	611 · Give Me the Bible	8
612	612 · His Yoke is Easy	5	612 · Gird Your Armor Gainst the Foe	9
613	613 · Hold To God's Unchanging	3	613 · At the Cross	8
614	614 · Dying With Jesus	3	614 · What Joy	9
615	615 · He Keeps Me Singing	3	615 · Gracious God We Come Before Thee	3
616	616 · The Way of the Cross	3	616 · I Want to Draw Closer to Jesus	6
617	617 · Child or the King	3	617 · God of Compassion We Come to Thee	8
618	618 · All Day Long	3	618 · That Beautiful Home (Elliott)	9
619	619 · A New Creature	3	619 · Out of Self and Into Thee	3
620	620 · Sunlight	4	620 · Father of Mercy and of Light	4
622	622 · Ring Our the Message	3	622 · I Want to See Heaven	5
623	623 · I Am Coming Lord (+1 more)	4	623 · God Our Father	6
624	624 · Just As I Am-Worthy is the Lamb (+1 more)	3	624 · Gods Wonderful Book Divine	6
625	625 · Zion's Call	3	625 · Grace Greater Than Our Sin	6
626	626 · Christ for the World We Sing	3	626 · The Kingdom Is Spreading	6
627	627 · There's A Royal Banner	3	627 · Just Beyond the Rolling River	6
628	628 · Will You Not Tell it Today	3	628 · Majestic Sweetness	5
629	629 · True Hearted Whole Hearted	3	629 · I Am Bound for the Promised Land	6
630	630 · Awake My Tongue Thy Tribute	2	630 · Hallelujah We Shall Rise	12
631	631 · Lift Him Up	3	631 · How Great Thou Art	8
632	632 · O Spread the Tidings Round	3	632 · I Wont Have to Cross Jordan Alone	6
633	633 · Throw out the Lifeline	3	633 · Shall We Gather at the River	6
634	634 · We'll Work Till Jesus Comes	3	634 · Oh God of Our Salvation	8
635	635 · Freely Freely	2	635 · Yield Not to Temptation	6
636	636 · To Love Someone More	3	636 · Go with Me	11
638	638 · Harvest Time	3	638 · God Give Us Christian Homes	6
639	639 · Rescue the Perishing	4	639 · O I Want to See Him	10
640	640 · I Love My Jesus	4	640 · The Love of God (Lehman)	9
641	641 · The Ninety and Nine	5	641 · Lord We Come to Thee	8
642	642 · Let The Lower Lights Be Burning	3	642 · Sweeter As the Years Go By	9
643	643 · Are You Sowing The Seed	3	643 · I Need the Prayers	6
644	644 · Tell Them of Jesus	4	644 · The Half I Cannot Tell	9
646	646 · Onward Christian Soldiers	4	646 · God Be with You	8
647	647 · Soldiers of Christ Arise	5	647 · God Is Love	8
648	648 · Stand Up Stand Up	4	648 · There Is a Crown for Me	6
650	650 · Send the Light	4	650 · Take Time to Be Holy	3
651	651 · Sound the Battle Cry	3	651 · Love Made Me Free	8
652	652 · We Have Heard the Joyful Sound	4	652 · O How I Love Jesus	6
654	654 · Down In The Valley	3	654 · Jesus Bids Us Shine	3
655	655 · Poured Out Like Wine	2	655 · Before Jehovah's Awful Throne	4
656	656 · O Zion Haste	4	656 · Looking to Thee	11
657	657 · Must I Go And Empty Handed	3	657 · Lead Me to Some Soul Today	6
658	658 · I Am A Stranger Here	3	658 · It Is No Secret	5
659	659 · I Love to tell the Story	4	659 · Light from the Cross Is Beaming	6
660	660 · People Need the Lord	1	660 · God Holds the Future in His Hands	10
662	662 · I Surrender All	3	662 · What a Gathering That Will Be	12
663	663 · We Give Thee But Thine Own	3	663 · Little Is Much When God Is in It	6
664	664 · Take My Life	5	664 · O Lord Our Lord	9
665	665 · I Am His and He is Mine	4	665 · Never Alone	12
666	666 · I Am Thine O Lord	4	666 · More about the Savior	6
667	667 · Savior Thy Dying Love	4	667 · Meet Me There	9
668	668 · We Are an Offering	1	668 · The Kingdoms of Earth Pass Away	6
669	669 · Take My Life-McIntosh	3	669 · Though Hosts of Sin Encamped Around	3
670	670 · O For a Closer Walk With Thee	4	670 · Mighty God May All Adore Thee	6
671	671 · Purer in Heart O God	3	671 · Prince of Peace Control My Will	4
672	672 · Give Me Thy Heart	3	672 · Mighty God	8
674	674 · I Have Decided	4	674 · Jesus Is All the World to Me	8
675	675 · Wherever He Leads I'll Go	4	675 · My Stubborn Will at Last Has Yielded	8
676	676 · Living for Jesus	3	676 · In the Land of Fadeless Day	8
677	677 · I Have Been Revived	1	677 · He's a Wonderful Savior to Me	8
678	678 · More About Jesus	4	678 · When Life for Me Shall End	4
679	679 · Tis So Sweet to Trust in Jesus	4	679 · O Say But Im Glad	6
680	680 · Yes Lord Yes	2	680 · The Old Rugged Cross	8
681	681 · More Holiness Give me	3	681 · We Read of a Wonderful City	6
682	682 · Purer Yet And Purer	3	682 · Standing by the Cross	8
683	683 · I Am Mine No More	4	683 · I Cannot Find the Way Alone	6
684	684 · Nearer My God to Thee	3	684 · Nothing on Earth Will Compare	8
686	686 · I Don't Want to Move	2	686 · We Must Forward March	6
687	687 · Until that Final Day	3	687 · O to Be Like Thee	8
688	688 · I'll Never Forsake My Lord	3	688 · On Jordan's Stormy Banks	8
689	689 · Be Still My Soul	3	689 · Live in the Glow of the Savior's Love	6
691	691 · Make Me New	1	691 · Farther Along	8
692	692 · Change My Heart O God	1	692 · O for a Faith That Will Not Shrink	4
693	693 · Heart of a Servent	1	693 · Lord Bless Our Soul's Endeavor	6
694	694 · Servant Song	1	694 · Savior Grant Me Rest and Peace	3
695	695 · None of Self and All of Thee	2	695 · Prayer	6
696	696 · Once To Every Man	8	696 · My Faith Looks Up to Thee	6
697	697 · I Believe in Jesus-Nelson	3	697 · Peace Perfect Peace	2
698	698 · My Jesus As Thou Wilt	3	698 · Jesus Our Savior	9
699	699 · I'll Be A Friend to Jesus	3	699 · My Precious Bible	8
700	700 · More Love To Thee	3	700 · Let Us Pass over the River	8
701	701 · My Jesus I Love Thee	3	701 · Light after Dark	3
703	703 · I Love You with the Love	3	703 · My Savior As Thou Wilt	8
704	704 · Bind us Together	1	704 · One Day	8
705	705 · A Common Love	1	705 · Lord Bless Us and Keep Us	3
706	706 · Arise and Sing	1	706 · Love Lifted Me	9
707	707 · The Lord Our Rock	3	707 · Above the Bright Blue	6
708	708 · Reach Out to Jesus	2	708 · O How Kindly Hast Thou Led Me	4
709	709 · How Sweet How Heavenly	5	709 · Asleep in Jesus	3
710	710 · The Lord Bless You and Keep You (+1 more)	1	710 · More about Jesus	8
711	711 · Blest be the Tie (2) (+1 more)	4	711 · My God and I	5
712	712 · Jesus is Coming Soon	4	712 · My Name Is in the Book of Life	8
714	714 · When He Cometh	3	714 · The Lily of the Valley	9
715	715 · The Church's One Foundation	2	715 · I Stand Amazed in the Presence	10
716	716 · Sing to Me Of Heaven	3	716 · Worthy Art Thou	6
717	717 · We Will Stand	1	717 · On That Wonderful Strand	6
718	718 · We Shall Assemble	1	718 · Making the Best of Each Day	6
719	719 · Angry Words	2	719 · When Jesus Come (Davis)	12
720	720 · The Bond of Love	2	720 · In Thee O God	3
721	721 · My Latest Sun is	3	721 · The Day Thou Gavest	4
722	722 · Let the Beauty of Jesus	3	722 · Dont Let Your Light Burn Low	6
724	724 · Let's Just Praise the Lord	1	724 · Lord Now We Lift Our Hearts to Thee	6
725	725 · Let Us Break Bread	1	725 · Give Your Life to the Lord	6
726	726 · Lord Listen To Your Children	1	726 · Beneath His Watchful Eye	3
727	727 · Jesus is Coming Again	3	727 · I Know Gods Promise Is True	8
728	728 · It May Be At Morn	4	728 · Jesus Keep Me Near the Cross	6
729	729 · Come Ye Thinkful People	6	729 · Tell the Sweet Story of Jesus	12
730	730 · We Declare That the Kingdom	1	730 · Wonderful Story of Love	9
731	731 · Take Time to Be Holy	3	731 · Send the Light	8
732	732 · The Family of God	5	732 · Abide with Me	3
734	734 · I'll Meet you in the Morning	3	734 · Beyond the Gates	6
735	735 · Heaven is in my Heart	2	735 · Sunlight and Shadows	6
736	736 · To Christ Be True	3	736 · Thou the God of All Creation	6
737	737 · Getting Used to the Family	2	737 · The Way of the Cross Leads Home	6
738	738 · Take the Name of Jesus	3	738 · The Sunset Gate	10
739	739 · God's Wonderful People	3	739 · The Lord Is My Shepherd (Elliott)	8
740	740 · Song for the Nations	3	740 · To the Work	6
741	741 · Immortal Love Forever	5	741 · Remember Me	8
742	742 · Tell It To Jesus alone (+1 more)	3	742 · Seeking the Lost	8
744	744 · God's Family	3	744 · The Gloryland Way	6
745	745 · Humble Yourself	5	745 · The Nail Scarred Hand	8
746	746 · Rejoice ye Pure in Heart	4	746 · Others	8
747	747 · Sing On Ye Joyful Pilgrams	3	747 · There Will Be a Grand Reunion	9
748	748 · Let the People Sing Amen	4	748 · Unsearchable Riches	6
749	749 · The Battle Belongs to the Lord	3	749 · Bright Stars in Their Crowns	6
751	751 · Watchman Tell us of the Night	3	751 · Some Day We ll See the Lord	6
752	752 · God Bless You Go With God	2	752 · Savior I Look to Thee	3
753	753 · Farther Along	3	753 · Fling Out the Banner	4
754	754 · Faith of Our Fathers (+1 more)	3	754 · The Haven of Rest	6
755	755 · God Be With You	3	755 · Christ for the World We Sing	5
756	756 · Just Beyond the Rolling River	3	756 · We Are Filled with Adoration	6
757	757 · Friends	2	757 · Sound the Battle Cry	6
759	759 · Shall We Gather At the River	4	759 · Work for the Night Is Coming	5
761	761 · Prince of Peace Control	4	761 · There Is a Land (Davis)	12
762	762 · Teach Me Thy Way	4	762 · In the Hour of Trial	6
763	763 · O Master Let Me Walk	3	763 · Who Am I	7
764	764 · Teach Me Lord to Wait	3	764 · Hold Thou My Hand	3
765	765 · O God Whose Will is Life	4	765 · Teach Us Our Lord and King	6
766	766 · Open Our Eyes Lord we	2	766 · Under His Wings	6
767	767 · In the Hour of Trial	3	767 · Walk with Jesus	12
768	768 · Jesus let us Come to Know	2	768 · Far and Near	6
769	769 · May I Call You Father	1	769 · I'll Be a Sunbeam	3
770	770 · Dear Lord and Father	4	770 · Oh the Depth and the Riches	6
771	771 · Lord Speak to Me	4	771 · Lift Your Eyes upon the Harvest	6
772	772 · Savior Breathe an Evening	4	772 · Only a Step	6
773	773 · Again the Lord of Light	4	773 · Happy the Home When God Is There	4
774	774 · Hide Me Rock Of Ages	3	774 · Rock of Ages	3
775	775 · Holy Father	1	775 · To Christ Be True	6
777	777 · Father Hear the Prayer	4	777 · My Soul Has Found Peace	6
778	778 · Be With Me Lord	4	778 · Did You Think to Pray	6
779	779 · I Love You Lord	1	779 · Shall I Crucify My Savior	6
780	780 · Thy Kingdom Come	1	780 · We Praise Thee O God	3
781	781 · Thank You Lord	2	781 · O for a Soul	3
782	782 · Lord Let us Now Depart	1	782 · Lead Me to Calvary	8
783	783 · Tarry With Me	3	783 · Hold to Gods Unchanging Hand	6
784	784 · Far and Near	3	784 · Lord Send Me	8
785	785 · Early My God Without Delay	2	785 · Lord I Commit My Life to Thee	9
786	786 · Take My Hand Precious Lord	2	786 · Stand By Me	10
789	789 · Father	1	789 · Wondrous Savior	6
790	790 · Lord Take Control	1	790 · The Love of God (Highfield)	12
791	791 · On Bended Knee	2	791 · Working by Love	12
792	792 · My Eyes are Dry	1	792 · There Is a Fountain	6
793	793 · There's A Garden	4	793 · The Beautiful Sunrise	12
794	794 · Unto Thee O Lord	3	794 · Write My Name on the Roll	6
795	795 · Now the Day is Over	4	795 · The Last Mile of the Way	8
796	796 · Remember Me O Mighty One	3	796 · Where He Leads I'll Follow	6
797	797 · Lord We Come Before Thee	4	797 · Sweet Is the Promise	6
798	798 · The Lord's Prayer	3	798 · Throw Out the Lifeline	6
800	800 · What A Friend We Have In Jesus	3	800 · The Friend Who Is Ever Near	8
801	801 · Where No One Stands Alone	2	801 · The Rock Once Cleft for Me	12
802	802 · Thanks Again Lord	2	802 · How Firm a Foundation	3
803	803 · Turn My Heart O God	2	803 · There Will Come a Glad Time	10
804	804 · A Simple Prayer	1	804 · One Step at a Time	6
806	806 · Sun Of My Soul	4	806 · What Did He Do	6
807	807 · Jesus Lover of My Soul	4	807 · Wonderful City of God	12
808	808 · Abide with Me	4	808 · Watch and Pray	10
809	809 · Lord Dismiss Us	2	809 · We Are Walking on the Kings Highway	8
810	810 · Listen to our Hearts-Young	2	810 · Till the Storm Passes By	11
812	812 · The Name of God	2	812 · Where the Gates Swing Outward Never	8
813	813 · Jesus Meek And Gentle	4	813 · When I See the Blood	8
814	814 · Jesus Lover of My -Holbroke	2	814 · When the Clouds Roll By (Powell)	8
815	815 · Father Whatever of Earthly	3	815 · When the Sun Goes Down	10
817	817 · See His Glory	4	817 · When the Clouds Roll By (Baird)	6
819	819 · Arise Shine	1	819 · Victory in Jesus	12
820	820 · Shine Down	1	820 · Thou Wilt Keep Him	3
821	821 · Pray All the Time	3	821 · When the Redeemed Are Gathering In	12
822	822 · Sweet Will of God	4	822 · Lift Him Up	8
823	823 · Lead Me Gently Home	3	823 · Take My Life O Father Mold It	3
824	824 · Still Still With Thee	3	824 · That We Might Be One	8
825	825 · My God My Father	4	825 · What Will I Leave Behind	6
826	826 · Father We Thank Thee	2	826 · Will You Not Tell It Today	6
827	827 · Sweet Hour of Prayer	3	827 · Wonderful Peace	6
828	828 · Instruments of Your Peace	2	828 · We Will Trust in the Lord	12
829	829 · God Who Made the Earth	4	829 · The Song of Wonderful Love	12
830	830 · Open My Eyes the I May See	3	830 · Work for Jesus	6
831	831 · Let Me Live Close To Thee	3	831 · Whosoever Meaneth Me	6
832	832 · Jesus We Just Want to Thank	4	832 · Ye Are the Light of the World	6
833	833 · I Want to Be where You Are	2	833 · Wonderful	12
834	834 · In the Hush of Early Morning	3	834 · Sweeping through the Gates	12
835	835 · Savior Grant Me Rest and Peace	3	835 · O Heart Bowed Down in Despair	9
836	836 · Til My Faith Becomes	3	836 · Sunlight	10
